Date,Cleaned Up Date,Weekly U.S. All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon)
5-Apr-93,4/1/1993,1.068
12-Apr-93,4/1/1993,1.079
19-Apr-93,4/1/1993,1.079
26-Apr-93,4/1/1993,1.086
3-May-93,5/1/1993,1.086
10-May-93,5/1/1993,1.097
17-May-93,5/1/1993,1.106
24-May-93,5/1/1993,1.106
31-May-93,5/1/1993,1.107
7-Jun-93,6/1/1993,1.104
14-Jun-93,6/1/1993,1.101
21-Jun-93,6/1/1993,1.095
28-Jun-93,6/1/1993,1.089
5-Jul-93,7/1/1993,1.086
12-Jul-93,7/1/1993,1.081
19-Jul-93,7/1/1993,1.075
26-Jul-93,7/1/1993,1.069
2-Aug-93,8/1/1993,1.062
9-Aug-93,8/1/1993,1.06
16-Aug-93,8/1/1993,1.059
23-Aug-93,8/1/1993,1.065
30-Aug-93,8/1/1993,1.062
6-Sep-93,9/1/1993,1.055
13-Sep-93,9/1/1993,1.051
20-Sep-93,9/1/1993,1.045
27-Sep-93,9/1/1993,1.047
4-Oct-93,10/1/1993,1.092
11-Oct-93,10/1/1993,1.09
18-Oct-93,10/1/1993,1.093
25-Oct-93,10/1/1993,1.092
1-Nov-93,11/1/1993,1.084
8-Nov-93,11/1/1993,1.075
15-Nov-93,11/1/1993,1.064
22-Nov-93,11/1/1993,1.058
29-Nov-93,11/1/1993,1.051
6-Dec-93,12/1/1993,1.036
13-Dec-93,12/1/1993,1.018
20-Dec-93,12/1/1993,1.003
27-Dec-93,12/1/1993,0.999
3-Jan-94,1/1/1994,0.992
10-Jan-94,1/1/1994,0.995
17-Jan-94,1/1/1994,1.001
24-Jan-94,1/1/1994,0.999
31-Jan-94,1/1/1994,1.005
7-Feb-94,2/1/1994,1.007
14-Feb-94,2/1/1994,1.016
21-Feb-94,2/1/1994,1.009
28-Feb-94,2/1/1994,1.004
7-Mar-94,3/1/1994,1.007
14-Mar-94,3/1/1994,1.005
21-Mar-94,3/1/1994,1.007
28-Mar-94,3/1/1994,1.012
4-Apr-94,4/1/1994,1.011
11-Apr-94,4/1/1994,1.028
18-Apr-94,4/1/1994,1.033
25-Apr-94,4/1/1994,1.037
2-May-94,5/1/1994,1.04
9-May-94,5/1/1994,1.045
16-May-94,5/1/1994,1.046
23-May-94,5/1/1994,1.05
30-May-94,5/1/1994,1.056
6-Jun-94,6/1/1994,1.065
13-Jun-94,6/1/1994,1.073
20-Jun-94,6/1/1994,1.079
27-Jun-94,6/1/1994,1.095
4-Jul-94,7/1/1994,1.097
11-Jul-94,7/1/1994,1.103
18-Jul-94,7/1/1994,1.109
25-Jul-94,7/1/1994,1.114
1-Aug-94,8/1/1994,1.13
8-Aug-94,8/1/1994,1.157
15-Aug-94,8/1/1994,1.161
22-Aug-94,8/1/1994,1.165
29-Aug-94,8/1/1994,1.161
5-Sep-94,9/1/1994,1.156
12-Sep-94,9/1/1994,1.15
19-Sep-94,9/1/1994,1.14
26-Sep-94,9/1/1994,1.129
3-Oct-94,10/1/1994,1.12
10-Oct-94,10/1/1994,1.114
17-Oct-94,10/1/1994,1.106
24-Oct-94,10/1/1994,1.107
31-Oct-94,10/1/1994,1.121
7-Nov-94,11/1/1994,1.123
14-Nov-94,11/1/1994,1.122
21-Nov-94,11/1/1994,1.113
28-Nov-94,11/1/1994,1.117
5-Dec-94,12/1/1994,1.127
12-Dec-94,12/1/1994,1.131
19-Dec-94,12/1/1994,1.134
26-Dec-94,12/1/1994,1.125
2-Jan-95,1/1/1995,1.127
9-Jan-95,1/1/1995,1.134
16-Jan-95,1/1/1995,1.126
23-Jan-95,1/1/1995,1.132
30-Jan-95,1/1/1995,1.131
6-Feb-95,2/1/1995,1.124
13-Feb-95,2/1/1995,1.121
20-Feb-95,2/1/1995,1.115
27-Feb-95,2/1/1995,1.121
6-Mar-95,3/1/1995,1.123
13-Mar-95,3/1/1995,1.116
20-Mar-95,3/1/1995,1.114
27-Mar-95,3/1/1995,1.121
3-Apr-95,4/1/1995,1.133
10-Apr-95,4/1/1995,1.149
17-Apr-95,4/1/1995,1.163
24-Apr-95,4/1/1995,1.184
1-May-95,5/1/1995,1.194
8-May-95,5/1/1995,1.216
15-May-95,5/1/1995,1.226
22-May-95,5/1/1995,1.244
29-May-95,5/1/1995,1.246
5-Jun-95,6/1/1995,1.246
12-Jun-95,6/1/1995,1.243
19-Jun-95,6/1/1995,1.236
26-Jun-95,6/1/1995,1.229
3-Jul-95,7/1/1995,1.222
10-Jul-95,7/1/1995,1.212
17-Jul-95,7/1/1995,1.2
24-Jul-95,7/1/1995,1.191
31-Jul-95,7/1/1995,1.179
7-Aug-95,8/1/1995,1.174
14-Aug-95,8/1/1995,1.172
21-Aug-95,8/1/1995,1.171
28-Aug-95,8/1/1995,1.163
4-Sep-95,9/1/1995,1.16
11-Sep-95,9/1/1995,1.158
18-Sep-95,9/1/1995,1.157
25-Sep-95,9/1/1995,1.156
2-Oct-95,10/1/1995,1.151
9-Oct-95,10/1/1995,1.144
16-Oct-95,10/1/1995,1.133
23-Oct-95,10/1/1995,1.125
30-Oct-95,10/1/1995,1.115
6-Nov-95,11/1/1995,1.112
13-Nov-95,11/1/1995,1.109
20-Nov-95,11/1/1995,1.106
27-Nov-95,11/1/1995,1.107
4-Dec-95,12/1/1995,1.108
11-Dec-95,12/1/1995,1.11
18-Dec-95,12/1/1995,1.124
25-Dec-95,12/1/1995,1.128
1-Jan-96,1/1/1996,1.129
8-Jan-96,1/1/1996,1.139
15-Jan-96,1/1/1996,1.145
22-Jan-96,1/1/1996,1.138
29-Jan-96,1/1/1996,1.133
5-Feb-96,2/1/1996,1.13
12-Feb-96,2/1/1996,1.126
19-Feb-96,2/1/1996,1.133
26-Feb-96,2/1/1996,1.153
4-Mar-96,3/1/1996,1.17
11-Mar-96,3/1/1996,1.171
18-Mar-96,3/1/1996,1.181
25-Mar-96,3/1/1996,1.21
1-Apr-96,4/1/1996,1.223
8-Apr-96,4/1/1996,1.248
15-Apr-96,4/1/1996,1.287
22-Apr-96,4/1/1996,1.301
29-Apr-96,4/1/1996,1.318
6-May-96,5/1/1996,1.321
13-May-96,5/1/1996,1.323
20-May-96,5/1/1996,1.33
27-May-96,5/1/1996,1.321
3-Jun-96,6/1/1996,1.315
10-Jun-96,6/1/1996,1.307
17-Jun-96,6/1/1996,1.302
24-Jun-96,6/1/1996,1.289
1-Jul-96,7/1/1996,1.279
8-Jul-96,7/1/1996,1.276
15-Jul-96,7/1/1996,1.273
22-Jul-96,7/1/1996,1.272
29-Jul-96,7/1/1996,1.263
5-Aug-96,8/1/1996,1.253
12-Aug-96,8/1/1996,1.248
19-Aug-96,8/1/1996,1.249
26-Aug-96,8/1/1996,1.253
2-Sep-96,9/1/1996,1.242
9-Sep-96,9/1/1996,1.247
16-Sep-96,9/1/1996,1.25
23-Sep-96,9/1/1996,1.251
30-Sep-96,9/1/1996,1.245
7-Oct-96,10/1/1996,1.239
14-Oct-96,10/1/1996,1.248
21-Oct-96,10/1/1996,1.249
28-Oct-96,10/1/1996,1.26
4-Nov-96,11/1/1996,1.268
11-Nov-96,11/1/1996,1.272
18-Nov-96,11/1/1996,1.282
25-Nov-96,11/1/1996,1.289
2-Dec-96,12/1/1996,1.287
9-Dec-96,12/1/1996,1.287
16-Dec-96,12/1/1996,1.283
23-Dec-96,12/1/1996,1.278
30-Dec-96,12/1/1996,1.274
6-Jan-97,1/1/1997,1.272
13-Jan-97,1/1/1997,1.287
20-Jan-97,1/1/1997,1.287
27-Jan-97,1/1/1997,1.284
3-Feb-97,2/1/1997,1.282
10-Feb-97,2/1/1997,1.28
17-Feb-97,2/1/1997,1.273
24-Feb-97,2/1/1997,1.27
3-Mar-97,3/1/1997,1.261
10-Mar-97,3/1/1997,1.253
17-Mar-97,3/1/1997,1.246
24-Mar-97,3/1/1997,1.25
31-Mar-97,3/1/1997,1.246
7-Apr-97,4/1/1997,1.248
14-Apr-97,4/1/1997,1.244
21-Apr-97,4/1/1997,1.245
28-Apr-97,4/1/1997,1.24
5-May-97,5/1/1997,1.238
12-May-97,5/1/1997,1.238
19-May-97,5/1/1997,1.247
26-May-97,5/1/1997,1.255
2-Jun-97,6/1/1997,1.258
9-Jun-97,6/1/1997,1.251
16-Jun-97,6/1/1997,1.242
23-Jun-97,6/1/1997,1.232
30-Jun-97,6/1/1997,1.226
7-Jul-97,7/1/1997,1.222
14-Jul-97,7/1/1997,1.219
21-Jul-97,7/1/1997,1.222
28-Jul-97,7/1/1997,1.216
4-Aug-97,8/1/1997,1.237
11-Aug-97,8/1/1997,1.272
18-Aug-97,8/1/1997,1.274
25-Aug-97,8/1/1997,1.288
1-Sep-97,9/1/1997,1.287
8-Sep-97,9/1/1997,1.288
15-Sep-97,9/1/1997,1.281
22-Sep-97,9/1/1997,1.269
29-Sep-97,9/1/1997,1.255
6-Oct-97,10/1/1997,1.254
13-Oct-97,10/1/1997,1.248
20-Oct-97,10/1/1997,1.238
27-Oct-97,10/1/1997,1.228
3-Nov-97,11/1/1997,1.221
10-Nov-97,11/1/1997,1.222
17-Nov-97,11/1/1997,1.213
24-Nov-97,11/1/1997,1.207
1-Dec-97,12/1/1997,1.197
8-Dec-97,12/1/1997,1.187
15-Dec-97,12/1/1997,1.176
22-Dec-97,12/1/1997,1.167
29-Dec-97,12/1/1997,1.158
5-Jan-98,1/1/1998,1.148
12-Jan-98,1/1/1998,1.14
19-Jan-98,1/1/1998,1.129
26-Jan-98,1/1/1998,1.112
2-Feb-98,2/1/1998,1.108
9-Feb-98,2/1/1998,1.101
16-Feb-98,2/1/1998,1.085
23-Feb-98,2/1/1998,1.09
2-Mar-98,3/1/1998,1.075
9-Mar-98,3/1/1998,1.065
16-Mar-98,3/1/1998,1.055
23-Mar-98,3/1/1998,1.047
30-Mar-98,3/1/1998,1.077
6-Apr-98,4/1/1998,1.074
13-Apr-98,4/1/1998,1.072
20-Apr-98,4/1/1998,1.075
27-Apr-98,4/1/1998,1.086
4-May-98,5/1/1998,1.095
11-May-98,5/1/1998,1.109
18-May-98,5/1/1998,1.109
25-May-98,5/1/1998,1.108
1-Jun-98,6/1/1998,1.104
8-Jun-98,6/1/1998,1.113
15-Jun-98,6/1/1998,1.104
22-Jun-98,6/1/1998,1.096
29-Jun-98,6/1/1998,1.096
6-Jul-98,7/1/1998,1.097
13-Jul-98,7/1/1998,1.092
20-Jul-98,7/1/1998,1.097
27-Jul-98,7/1/1998,1.088
3-Aug-98,8/1/1998,1.077
10-Aug-98,8/1/1998,1.072
17-Aug-98,8/1/1998,1.065
24-Aug-98,8/1/1998,1.058
31-Aug-98,8/1/1998,1.053
7-Sep-98,9/1/1998,1.046
14-Sep-98,9/1/1998,1.042
21-Sep-98,9/1/1998,1.053
28-Sep-98,9/1/1998,1.053
5-Oct-98,10/1/1998,1.059
12-Oct-98,10/1/1998,1.063
19-Oct-98,10/1/1998,1.058
26-Oct-98,10/1/1998,1.055
2-Nov-98,11/1/1998,1.05
9-Nov-98,11/1/1998,1.048
16-Nov-98,11/1/1998,1.037
23-Nov-98,11/1/1998,1.03
30-Nov-98,11/1/1998,1.015
7-Dec-98,12/1/1998,0.996
14-Dec-98,12/1/1998,0.987
21-Dec-98,12/1/1998,0.986
28-Dec-98,12/1/1998,0.979
4-Jan-99,1/1/1999,0.977
11-Jan-99,1/1/1999,0.982
18-Jan-99,1/1/1999,0.985
25-Jan-99,1/1/1999,0.977
1-Feb-99,2/1/1999,0.971
8-Feb-99,2/1/1999,0.968
15-Feb-99,2/1/1999,0.96
22-Feb-99,2/1/1999,0.949
1-Mar-99,3/1/1999,0.955
8-Mar-99,3/1/1999,0.963
15-Mar-99,3/1/1999,1.017
22-Mar-99,3/1/1999,1.056
29-Mar-99,3/1/1999,1.121
5-Apr-99,4/1/1999,1.158
12-Apr-99,4/1/1999,1.179
19-Apr-99,4/1/1999,1.175
26-Apr-99,4/1/1999,1.171
3-May-99,5/1/1999,1.176
10-May-99,5/1/1999,1.18
17-May-99,5/1/1999,1.18
24-May-99,5/1/1999,1.166
31-May-99,5/1/1999,1.151
7-Jun-99,6/1/1999,1.152
14-Jun-99,6/1/1999,1.148
21-Jun-99,6/1/1999,1.163
28-Jun-99,6/1/1999,1.153
5-Jul-99,7/1/1999,1.165
12-Jul-99,7/1/1999,1.182
19-Jul-99,7/1/1999,1.208
26-Jul-99,7/1/1999,1.232
2-Aug-99,8/1/1999,1.234
9-Aug-99,8/1/1999,1.246
16-Aug-99,8/1/1999,1.275
23-Aug-99,8/1/1999,1.273
30-Aug-99,8/1/1999,1.273
6-Sep-99,9/1/1999,1.282
13-Sep-99,9/1/1999,1.29
20-Sep-99,9/1/1999,1.307
27-Sep-99,9/1/1999,1.302
4-Oct-99,10/1/1999,1.296
11-Oct-99,10/1/1999,1.29
18-Oct-99,10/1/1999,1.277
25-Oct-99,10/1/1999,1.277
1-Nov-99,11/1/1999,1.271
8-Nov-99,11/1/1999,1.274
15-Nov-99,11/1/1999,1.292
22-Nov-99,11/1/1999,1.309
29-Nov-99,11/1/1999,1.315
6-Dec-99,12/1/1999,1.313
13-Dec-99,12/1/1999,1.315
20-Dec-99,12/1/1999,1.31
27-Dec-99,12/1/1999,1.314
3-Jan-00,1/1/2000,1.312
10-Jan-00,1/1/2000,1.304
17-Jan-00,1/1/2000,1.318
24-Jan-00,1/1/2000,1.354
31-Jan-00,1/1/2000,1.355
7-Feb-00,2/1/2000,1.364
14-Feb-00,2/1/2000,1.394
21-Feb-00,2/1/2000,1.443
28-Feb-00,2/1/2000,1.458
6-Mar-00,3/1/2000,1.539
13-Mar-00,3/1/2000,1.566
20-Mar-00,3/1/2000,1.569
27-Mar-00,3/1/2000,1.549
3-Apr-00,4/1/2000,1.543
10-Apr-00,4/1/2000,1.516
17-Apr-00,4/1/2000,1.486
24-Apr-00,4/1/2000,1.478
1-May-00,5/1/2000,1.461
8-May-00,5/1/2000,1.495
15-May-00,5/1/2000,1.531
22-May-00,5/1/2000,1.566
29-May-00,5/1/2000,1.579
5-Jun-00,6/1/2000,1.599
12-Jun-00,6/1/2000,1.664
19-Jun-00,6/1/2000,1.711
26-Jun-00,6/1/2000,1.691
3-Jul-00,7/1/2000,1.661
10-Jul-00,7/1/2000,1.63
17-Jul-00,7/1/2000,1.586
24-Jul-00,7/1/2000,1.562
31-Jul-00,7/1/2000,1.514
7-Aug-00,8/1/2000,1.504
14-Aug-00,8/1/2000,1.489
21-Aug-00,8/1/2000,1.508
28-Aug-00,8/1/2000,1.521
4-Sep-00,9/1/2000,1.568
11-Sep-00,9/1/2000,1.598
18-Sep-00,9/1/2000,1.599
25-Sep-00,9/1/2000,1.586
2-Oct-00,10/1/2000,1.563
9-Oct-00,10/1/2000,1.541
16-Oct-00,10/1/2000,1.578
23-Oct-00,10/1/2000,1.588
30-Oct-00,10/1/2000,1.584
6-Nov-00,11/1/2000,1.565
13-Nov-00,11/1/2000,1.562
20-Nov-00,11/1/2000,1.55
27-Nov-00,11/1/2000,1.549
4-Dec-00,12/1/2000,1.526
11-Dec-00,12/1/2000,1.49
18-Dec-00,12/1/2000,1.462
25-Dec-00,12/1/2000,1.453
1-Jan-01,1/1/2001,1.446
8-Jan-01,1/1/2001,1.465
15-Jan-01,1/1/2001,1.513
22-Jan-01,1/1/2001,1.511
29-Jan-01,1/1/2001,1.5
5-Feb-01,2/1/2001,1.483
12-Feb-01,2/1/2001,1.515
19-Feb-01,2/1/2001,1.489
26-Feb-01,2/1/2001,1.471
5-Mar-01,3/1/2001,1.457
12-Mar-01,3/1/2001,1.453
19-Mar-01,3/1/2001,1.444
26-Mar-01,3/1/2001,1.445
2-Apr-01,4/1/2001,1.482
9-Apr-01,4/1/2001,1.54
16-Apr-01,4/1/2001,1.61
23-Apr-01,4/1/2001,1.658
30-Apr-01,4/1/2001,1.665
7-May-01,5/1/2001,1.739
14-May-01,5/1/2001,1.748
21-May-01,5/1/2001,1.724
28-May-01,5/1/2001,1.739
4-Jun-01,6/1/2001,1.715
11-Jun-01,6/1/2001,1.688
18-Jun-01,6/1/2001,1.644
25-Jun-01,6/1/2001,1.583
2-Jul-01,7/1/2001,1.52
9-Jul-01,7/1/2001,1.484
16-Jul-01,7/1/2001,1.459
23-Jul-01,7/1/2001,1.44
30-Jul-01,7/1/2001,1.428
6-Aug-01,8/1/2001,1.419
13-Aug-01,8/1/2001,1.434
20-Aug-01,8/1/2001,1.467
27-Aug-01,8/1/2001,1.523
3-Sep-01,9/1/2001,1.579
10-Sep-01,9/1/2001,1.562
17-Sep-01,9/1/2001,1.564
24-Sep-01,9/1/2001,1.522
